smiles,auc,cl,vdss,t1_2,log_auc_value,log_cl_value,log_vdss_value,log_t1_2_value,k1,k2,k3
CCc1cc(-c2noc(-c3cc(C)nc(N(CC)CC)c3)n2)cc(C)c1OC[C@@H](O)CNC(=O)CO,3200.0,5.4,3.5,8.3,8.070906088787819,1.6863989535702288,1.252762968495368,2.1162555148025524,17280.0,1349.3975903614455,12.805714285714288
N#CN[C@H]1CCc2ccc(-c3ncnc4[nH]ccc34)cc21,488.0,36.0,0.35,0.27,6.1903154058531475,3.58351893845611,-1.0498221244986778,-1.3093333199837622,17568.0,632.5925925925925,27.771428571428576
O=C(NOCCO)c1ccc2[nH]ncc2c1Nc1ccc(Br)cc1F,306.91125000000005,54.0,1.5,0.36,5.726558617845339,3.9889840465642745,0.4054651081081644,-1.0216512475319814,16573.207500000004,1278.7968750000002,12.96
CC1=C(CN2CC(C(=O)O)C2)CCc2cc(OCCCc3ccc(F)cc3)ccc21.Cl,5400.0,3.2,5.3,21.0,8.594154232552366,1.1631508098056809,1.667706820558076,3.044522437723423,17280.0,1362.857142857143,12.679245283018869
COc1cnc2cccc([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,313.0,53.0,18.0,5.9,5.746203190540153,3.970291913552122,2.8903717578961645,1.7749523509116738,16589.0,954.915254237288,17.372222222222224
COc1cccc(CNC(=O)c2cc3ccc(-c4cn[nH]c4)nc3[nH]2)c1,7781.267199999999,2.0,0.3,2.0,8.959474483086442,0.6931471805599453,-1.203972804325936,0.6931471805599453,15562.5344,1167.19008,13.333333333333334
CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,4545.764324324326,3.8,0.64,3.7,8.421951160641067,1.33500106673234,-0.4462871026284195,1.308332819650179,17273.904432432435,786.2943696128563,21.96875
Cn1cc(/C=C2\C(=O)NN=C2c2nccs2)c2c(F)cccc21,3599.0,4.6,0.23,1.2,8.188411308079031,1.5260563034950492,-1.4696759700589417,0.1823215567939546,16555.399999999998,689.8083333333334,24.0
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc([C@H]3CC[C@H](c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)CC3)cc2)[nH]1)C(C)C,706.0,23.67,1.53,1.33,6.559615237493242,3.1642084235258925,0.4252677354043441,0.2851789422336624,16711.02,812.1654135338346,20.57588235294118
COc1nc(C2=NN(c3ccc(C#N)c(C)c3)[C@@H](C3CCCC3)C2)ccc1C(=O)O,494.0,33.0,3.1,2.3,6.202535517187923,3.49650756146648,1.1314021114911006,0.8329091229351039,16302.0,665.8260869565219,24.48387096774193
Cc1ccc(OC2CN(c3cccc(COC(=O)NC(=N)N)c3F)C2)cn1.O=C(O)[C@H](O)[C@@H](O)C(=O)O,3200.0,5.2,1.06,3.3,8.070906088787819,1.6486586255873816,0.0582689081239758,1.1939224684724346,16640.0,1027.878787878788,16.18867924528302
COc1cccc(CNC(=O)c2cc3ccc(-c4cn[nH]c4)cc3[nH]2)c1,5299.767,3.2,0.46,2.0,8.575418136309693,1.1631508098056809,-0.7765287894989963,0.6931471805599453,16959.2544,1218.94641,13.91304347826087
CCC(C)(C)C(=O)Nc1cc(C)c(C)c(S(=O)(=O)N2CCOCC2)c1,237.0,70.0,2.5,0.7,5.4680601411351315,4.248495242049359,0.9162907318741552,-0.3566749439387324,16590.0,846.4285714285714,19.6
O=C(N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1nc(-c2ccccc2)cs1)c1ccccc1)c1ccccc1,367.0,44.8,4.2,2.3,5.905361848054571,3.802208139420939,1.4350845252893227,0.8329091229351039,16441.6,670.1739130434784,24.53333333333333
O=C(N[C@@H](C(=O)N1CCC[C@H]1C(=O)Nc1nc(-c2ccccc2)cs1)c1ccccc1)C1CC1,635.0,27.1,1.32,1.3,6.453624998892692,3.299533727885655,0.2776317365982795,0.262364264467491,17208.5,644.7692307692308,26.68939393939394
O=C(Nc1nc(-c2ccccc2)cs1)[C@@H]1CCCN1C(=O)[C@H](NC(=O)N1CCOCC1)c1ccccc1,436.0,38.4,1.04,0.46,6.077642243349034,3.648057459593681,0.0392207131532813,-0.7765287894989963,16742.399999999998,985.7391304347824,16.984615384615385
CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c(Cl)c1,162.0,107.0,2.3,0.5,5.087596335232384,4.672828834461906,0.8329091229351039,-0.6931471805599453,17334.0,745.1999999999999,23.26086956521739
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O,3800.0,4.53,1.1,2.84,8.242756345714477,1.5107219394949427,0.0953101798043249,1.043804052173115,17214.0,1471.830985915493,11.695636363636362
O=C(Nc1nc2ccccc2[nH]1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,792.7440000000004,21.67,1.8,1.1,6.675500344799465,3.075928815548268,0.5877866649021191,0.0953101798043249,17178.76248000001,1297.217454545455,13.242777777777778
COc1cccc(CNC(=O)c2cn(CCN3CCCC3)c3nc(-c4cn[nH]c4)ccc23)c1,133.36170000000007,114.0,10.0,1.5,4.893064985811801,4.736198448394496,2.302585092994046,0.4054651081081644,15203.233800000007,889.0780000000004,17.1
CC1(C)[C@H](NC(=O)/C(=N\OCc2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,1714.0,9.8,0.14,0.27,7.446585099157725,2.2823823856765264,-1.9661128563728327,-1.3093333199837622,16797.2,888.7407407407408,18.9
Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(c1)NC(=O)C21CCN(C)CC1,226.0,73.33,19.1,5.1,5.420534999272286,4.294969802105708,2.9496883350525844,1.62924053973028,16572.579999999998,846.3921568627452,19.580261780104703
CS(=O)(=O)Nc1ccncc1-c1ccc(C#N)c2ccccc12,6500.0,2.5,0.4,3.9,8.779557455883728,0.9162907318741552,-0.916290731874155,1.3609765531356006,16250.0,666.6666666666666,24.375
CCN(C(=O)CN(c1cc(N(C)C)ccc1Cl)S(=O)(=O)c1ccc(OC)c(OC)c1)c1cccc(C)n1,434.0,38.0,1.7,0.5,6.073044534100405,3.6375861597263857,0.5306282510621704,-0.6931471805599453,16492.0,1475.6,11.176470588235295
CC(C)C(O/N=C(\C(=O)N[C@@H]1C(=O)N(OS(=O)(=O)O)C1(C)C)c1nc(N)sc1Cl)c1cc(=O)c(O)cn1O,634.0,26.9,1.41,1.5,6.452048954437226,3.292126286607793,0.3435897043900768,0.4054651081081644,17054.6,595.9599999999999,28.617021276595743
