Unnamed: 0,smiles,value,log_value,init_value
33,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(C(=O)NC[C@@H](C)CC(F)(F)F)cc12,1.667,0.511025603768657,0.238169849661794
748,O=C(c1cc2ccc(F)cc2[nH]1)N1C[C@]2(CCN(C3CCNC3)C2)c2ccccc21,5.0,1.6094379124341005,0.3127711490880455
1228,CC1(C)Oc2nc(C(F)(F)F)nc(N)c2N=C1c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1,1.333,0.2874320411965715,0.2229839580074217
6277,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cc(F)cc(F)c2)N2CCN(S(C)(=O)=O)CC2)CC1,71.0,4.262679877041316,0.4929724238647706
1473,CCN(CC)CC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1F,2.5,0.9162907318741552,0.2656944002611491
2521,Cn1c(=O)c2c(c(C#N)c(N3CCC[C@H](N)C3)n2Cc2ccccc2)n(C)c1=O,18.0,2.8903717578961645,0.3997688352908145
367,O=c1ccn2c(-c3ccc(F)cc3F)cccc2c1-c1cc(-c2nnco2)ccc1F,3.1,1.1314021114911006,0.2803042041701161
47,COc1ccc(CCc2c(-c3ccccc3)[nH]c3ccc(CC(=O)O)cc23)cc1,3.0,1.0986122886681098,0.2780772049174186
3161,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc3c(c2)OC(c2ccc(Cl)cc2)n2c-3cc3cc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)ccc32)[nH]1)C(C)C,10.0,2.302585092994046,0.359847897914942
3636,CCC1(c2ccccc2)c2c(ccc(F)c2F)N(Cc2cc[n+]([O-])cc2)C(=O)N1CC(F)(F)F,21.0,3.044522437723423,0.4102383474510757
2485,O=S1(=O)CCC(Oc2ccc3c(c2)CCC2(CCN(C4CCC4)CC2)O3)CC1,19.0,2.9444389791664403,0.4034409399561653
1458,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1C(=O)NS(=O)(=O)n1nc(-c2cc(=O)c(O)c[nH]2)n(CCCS(C)(=O)=O)c1=O,7.3,1.9878743481543453,0.3384735648678456
438,CNC(=O)c1cc(F)ccc1CNC(=O)c1nc(N2CCCCS2(=O)=O)c2cccnc2c1O,8.6,2.151762203259462,0.3496044005791439
1608,Fc1cccc(CCN2CCN(CC(F)(F)Cc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,67.0,4.204692619390966,0.4890340805516509
4974,COc1nc2c(OC)cccc2nc1NC(=O)N1CCN(c2cc(C)cc(C)c2)CC1,31.5,3.449987545831587,0.4377764801706788
3086,COc1cc(N2C(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc3S2(=O)=O)cc(OC)n1,17.0,2.833213344056216,0.3958867848877336
652,O=c1c(Br)c(OCc2ccc(F)cc2F)cc(CO)n1-c1c(F)cccc1F,4.0,1.3862943611198906,0.2976158210247119
5808,Cc1cccc(C)c1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,32.0,3.4657359027997265,0.438846067505401
6741,Cn1c(=O)n(CC(C)(C)C)c2ccc(N3CC4CCC3CN4C(=O)c3ccccc3)nc21,69.0,4.23410650459726,0.4910317949256187
778,N#Cc1cnc2c(Cl)cc(NCc3cnc[nH]3)cc2c1Nc1ccc(F)c(Cl)c1,19.0,2.9444389791664403,0.4034409399561653
537,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2ccsc2c1=O,6.97,1.9416152247724323,0.3353317658481288
1398,CCC1(CC)CS/C(=N\c2ccccc2C(C)C)N(C(=S)SC)C1,48.3,3.877431560658527,0.466807362915253
6984,O=C(c1ccc(Oc2ccc(F)cc2)cn1)N1CCCN(C2CCC2)CC1,80.0,4.382026634673881,0.501078144395631
448,CN1C(=O)NC[C@H]1C(=O)NCc1ccc(Cl)cc1Cl,6.0,1.791759469228055,0.325153953744315
7506,Nc1nc(C2CC2)nc2c1nnn2C[C@H]1CN(Cc2ncccn2)CCO1,124.0,4.820281565605037,0.5308432763679317
548,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,10.5,2.3513752571634776,0.3631615986241793
1817,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(OCc4ccccn4)c(Cl)c3)c3c(N)ncnc32)C1,0.4063,-0.900663475988456,0.1422916089457148
5048,Cc1ccc([C@H](C(=O)N2CCCC2)N2C(=O)[C@@H](C3Cc4ccccc4C3)NC(=O)[C@H]2CC(C)C)cn1,33.0,3.49650756146648,0.4409359983118302
1316,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,32.82,3.4910380856619447,0.4405645257791757
1224,CC(C)(O)c1ccc(-c2cc(C(N)=O)c(Nc3cccc(CN4CCOCC4)n3)s2)cc1,1.3,0.262364264467491,0.2212814199868958
5736,CN1CC2CCC(C1)N2C(=O)[C@]12C[C@H]1c1cc(F)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)C4CC4)cc3n1C2,41.0,3.713572066704308,0.4556784534193599
2577,O=C(O)CN1C(=O)[C@@]2(CC(=O)N(Cc3cc(Cl)ccc3F)C2)c2cc(Cl)ccc21,12.0,2.4849066497880004,0.3722307025712114
3443,OCCOCCNc1cc2c(NC3Cc4ccccc4C3)ncnc2cn1,26.0,3.258096538021482,0.424743743357815
5795,COCCOc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5nccs5)nc43)CC2)cc1F,45.0,3.80666248977032,0.4620009121810444
7377,CCN1Cc2ccc(OC)cc2C[C@@H]1C(=O)Nc1cc(F)c(-c2cn[nH]c2)cc1OCCN(C)C,130.0,4.867534450455582,0.5340525690749414
7419,CC(C)N(CCO)Cc1csc(-c2cn(CC3CCOCC3)c3c(Cl)cccc23)n1,127.0,4.844187086458591,0.5324668770004694
3521,Cc1cccc(C)c1-c1nnc(NC(=O)c2ccc3c(c2)OCCO3)s1,29.0,3.367295829986474,0.432160274484376
2527,O=c1cc(-c2ccc(OCCCN3CCCCC3)cc2)cnn1-c1ccccn1,11.0,2.3978952727983707,0.3663211167653308
2192,CCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(C(=O)NCC)CC3)cc(-c3ccccc3)n2)CC1,16.0,2.772588722239781,0.3917693186785047
7642,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1nccc(-c2c[nH]c3cnccc23)n1,137.0,4.919980925828125,0.5376145969057041
21,COc1cc(OC)cc(C(=O)Nc2ccc(C)c(C(=O)Nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3)c2)c1,4.833,1.575467392862947,0.3104639599913829
3697,C=Cn1ncc2c1nc(N)n1c(=O)n(Cc3ccccc3)nc21,24.4,3.194583132299156,0.4204300784794333
1061,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C2(C)CC2)n1,8.0,2.079441541679836,0.3446925698516083
3472,CCOc1cc2ncc(C(N)=O)c(Nc3cc(F)ccc3F)c2cc1N1CCN(C)CC1,28.0,3.332204510175204,0.429776963558369
6802,CNS(=O)(=O)c1cccc(Nc2cc(Nc3cccc(Br)c3)ncn2)c1,53.0,3.970291913552122,0.473114195910833
7515,CN1CCN(c2ccc(C3CC(c4ccc([N+](=O)[O-])o4)=NO3)cc2)C(=O)C1,193.5,5.2652775124698366,0.5610662405623729
7755,CCC1(CC)C(C)=Nc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)cc21,125.0,4.8283137373023015,0.5313888005222984
5623,Cn1cnc2ncn(Cc3nc(CCc4ccc(Cl)cc4)no3)c(=O)c21,41.67,3.7297814454343614,0.4567793521498407
